year,subseason,ice_persist,sector
1992,early,NA,circumpolar
1992,late,5,circumpolar
1992,mid,3,circumpolar
1993,early,NA,circumpolar
1993,late,NA,circumpolar
1993,mid,NA,circumpolar
1994,early,2,circumpolar
1994,late,4,circumpolar
1994,mid,10,circumpolar
1995,early,NA,circumpolar
1995,late,2,circumpolar
1995,mid,NA,circumpolar
1996,early,6.142857142857143,circumpolar
1996,late,NA,circumpolar
1996,mid,NA,circumpolar
1997,early,NA,circumpolar
1997,late,NA,circumpolar
1997,mid,NA,circumpolar
1998,early,3,circumpolar
1998,late,NA,circumpolar
1998,mid,5,circumpolar
1999,early,3,circumpolar
1999,late,NA,circumpolar
1999,mid,1,circumpolar
2000,early,9.181818181818182,circumpolar
2000,late,7,circumpolar
2000,mid,NA,circumpolar
2001,early,NA,circumpolar
2001,late,4,circumpolar
2001,mid,NA,circumpolar
2002,early,15,circumpolar
2002,late,NA,circumpolar
2002,mid,NA,circumpolar
2003,early,18.1,circumpolar
2003,late,NA,circumpolar
2003,mid,4.666666666666667,circumpolar
2004,early,NA,circumpolar
2004,late,NA,circumpolar
2004,mid,NA,circumpolar
2005,early,4.142857142857143,circumpolar
2005,late,4.2,circumpolar
2005,mid,1,circumpolar
2006,early,1,circumpolar
2006,late,7,circumpolar
2006,mid,1,circumpolar
2007,early,NA,circumpolar
2007,late,11,circumpolar
2007,mid,2,circumpolar
2008,early,30,circumpolar
2008,late,7,circumpolar
2008,mid,7.8,circumpolar
2009,early,2,circumpolar
2009,late,NA,circumpolar
2009,mid,NA,circumpolar
2010,early,30,circumpolar
2010,late,28,circumpolar
2010,mid,19.962962962962962,circumpolar
2011,early,1,circumpolar
2011,late,NA,circumpolar
2011,mid,6,circumpolar
2012,early,11.777777777777779,circumpolar
2012,late,10,circumpolar
2012,mid,4.142857142857143,circumpolar
2013,early,NA,circumpolar
2013,late,NA,circumpolar
2013,mid,NA,circumpolar
2014,early,NA,circumpolar
2014,late,3,circumpolar
2014,mid,4,circumpolar
2015,early,30,circumpolar
2015,late,4.333333333333333,circumpolar
2015,mid,15,circumpolar
2016,early,NA,circumpolar
2016,late,19,circumpolar
2016,mid,8,circumpolar
2017,early,NA,circumpolar
2017,late,NA,circumpolar
2017,mid,NA,circumpolar
2018,early,NA,circumpolar
2018,late,2,circumpolar
2018,mid,1.6666666666666667,circumpolar
2019,early,30,circumpolar
2019,late,NA,circumpolar
2019,mid,3,circumpolar
2020,early,NA,circumpolar
2020,late,7,circumpolar
2020,mid,10,circumpolar
2021,early,NA,circumpolar
2021,late,5,circumpolar
2021,mid,15.117647058823529,circumpolar
2022,early,9.5,circumpolar
2022,late,NA,circumpolar
2022,mid,3.888888888888889,circumpolar
2023,early,30,circumpolar
2023,late,20,circumpolar
2023,mid,31,circumpolar
2024,early,NA,circumpolar
2024,late,NA,circumpolar
2024,mid,NA,circumpolar
