year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
1999,2.1818181818181817,7.7272727272727275,East_Antarctica,275,2.7637329265876067,-1.347826086956502,0.16588348425301147
2000,2.4074074074074074,15.350877192982455,East_Antarctica,276,2.700774512654021,-0.34782608695650197,0.10292507031942577
2001,1.8421052631578947,9.758620689655173,East_Antarctica,275,2.446703914089843,-1.347826086956502,-0.15114552824475247
2002,1.8333333333333333,16.4375,East_Antarctica,275,2.6844191853315196,-1.347826086956502,0.08656974299692433
2003,1.9375,7,East_Antarctica,275,2.68923527101646,-1.347826086956502,0.09138582868186473
2004,2.0526315789473686,2.6,East_Antarctica,276,2.540292966918885,-0.34782608695650197,-0.057556475415710295
2005,1.9565217391304348,6.36,East_Antarctica,275,2.725512369330688,-1.347826086956502,0.12766292699609272
2006,2.8285714285714287,27.894736842105264,East_Antarctica,275,2.804646194436233,-1.347826086956502,0.20679675210163762
2007,2.9,10.875,East_Antarctica,275,2.542248611676987,-1.347826086956502,-0.055600830657608125
2008,1.7272727272727273,9,East_Antarctica,276,2.334915777398051,-0.34782608695650197,-0.26293366493654435
2009,2.2,6.166666666666667,East_Antarctica,275,2.4606575634412553,-1.347826086956502,-0.13719187889333995
2010,1.8888888888888888,2.4,East_Antarctica,275,2.2233109600718928,-1.347826086956502,-0.3745384822627025
2011,1.6666666666666667,33.27272727272727,East_Antarctica,275,2.8442032661400383,-1.347826086956502,0.24635382380544302
2012,2,5.8,East_Antarctica,276,2.9090794569040375,-0.34782608695650197,0.3112300145694422
2013,1.7407407407407407,4.142857142857143,East_Antarctica,275,2.5147981928160568,-1.347826086956502,-0.08305124951853848
2014,2.125,NA,East_Antarctica,275,2.54976085409363,-1.347826086956502,-0.04808858824096518
2015,1.8,16.785714285714285,East_Antarctica,275,2.4602786594274426,-1.347826086956502,-0.13757078290715263
2016,1.5555555555555556,5,East_Antarctica,276,2.6203380289078217,-0.34782608695650197,0.0224885865732265
2017,2.2666666666666666,6.62962962962963,East_Antarctica,275,2.618751815682103,-1.347826086956502,0.020902373347507552
2018,1.7826086956521738,NA,East_Antarctica,275,2.5436687355615613,-1.347826086956502,-0.05418070677303399
2019,2.6,6.266666666666667,East_Antarctica,275,2.776153316384142,-1.347826086956502,0.17830387404954662
2020,2.4285714285714284,1.8,East_Antarctica,276,2.421202679819936,-0.34782608695650197,-0.17664676251465927
2021,2.0714285714285716,10.2,East_Antarctica,275,2.617810637992521,-1.347826086956502,0.019961195657925757
2022,1.5714285714285714,1,East_Antarctica,275,2.3876522044304416,-1.347826086956502,-0.21019723790415368
2023,2.263157894736842,9.941176470588236,East_Antarctica,275,2.530642257275652,-1.347826086956502,-0.06720718505894308
2024,2.375,NA,East_Antarctica,NA,NA,NA,NA
1979,1.6666666666666667,25.235294117647058,King_Haakon,270,4.1531445884694556,-2.47826086956519,0.14814528322736464
1980,3.4615384615384617,25.697674418604652,King_Haakon,271,3.6290922702499664,-1.4782608695651902,-0.3759070349921245
1981,2.1666666666666665,5.285714285714286,King_Haakon,271,3.9148111063330995,-1.4782608695651902,-0.09018819890899143
1982,1.8333333333333333,10.478260869565217,King_Haakon,270,3.5359092872760964,-2.47826086956519,-0.4690900179659945
1983,2,2.111111111111111,King_Haakon,271,3.871097019850775,-1.4782608695651902,-0.13390228539131588
1984,1.2857142857142858,NA,King_Haakon,272,4.242397706901785,-0.4782608695651902,0.23739840165969373
1985,1,6.733333333333333,King_Haakon,270,4.062199286616172,-2.47826086956519,0.05719998137408133
1986,1,10.826086956521738,King_Haakon,271,3.122151280946611,-1.4782608695651902,-0.8828480242954799
1987,1.6,1,King_Haakon,250,3.166081583980203,-22.47826086956519,-0.8389177212618879
1988,2.5555555555555554,14.066666666666666,King_Haakon,276,3.7436212816981858,3.52173913043481,-0.26137802354390516
1989,2.8,8.833333333333334,King_Haakon,271,4.197923718756118,-1.4782608695651902,0.19292441351402712
1990,2.7777777777777777,NA,King_Haakon,271,4.26222012619423,-1.4782608695651902,0.2572208209521394
1991,3.9411764705882355,6.538461538461538,King_Haakon,271,4.080378356183378,-1.4782608695651902,0.0753790509412875
1992,4.103448275862069,20.5,King_Haakon,272,4.032784007502758,-0.4782608695651902,0.027784702260666982
1993,2.272727272727273,NA,King_Haakon,271,3.7794500472300636,-1.4782608695651902,-0.2255492580120273
1994,3.8666666666666667,1,King_Haakon,271,4.001733656303469,-1.4782608695651902,-0.0032656489386218013
1995,2.6296296296296298,24,King_Haakon,271,3.7009420355468805,-1.4782608695651902,-0.3040572696952104
1996,3.111111111111111,1,King_Haakon,272,4.263947279243472,-0.4782608695651902,0.2589479740013809
1997,2.066666666666667,5.769230769230769,King_Haakon,271,4.256449361999609,-1.4782608695651902,0.25145005675751797
1998,4.151515151515151,20.185185185185187,King_Haakon,271,4.049397778216683,-1.4782608695651902,0.044398472974592096
1999,4.032258064516129,2.3333333333333335,King_Haakon,271,4.061309955269397,-1.4782608695651902,0.05631065002730651
2000,3.56,1,King_Haakon,272,4.33358908678215,-0.4782608695651902,0.32858978154005936
2001,2,8,King_Haakon,271,3.605262859832407,-1.4782608695651902,-0.3997364454096841
2002,5.82051282051282,21.08695652173913,King_Haakon,271,3.712562533999902,-1.4782608695651902,-0.2924367712421887
2003,1.9090909090909092,15.24,King_Haakon,271,3.537585977112794,-1.4782608695651902,-0.4674133281292967
2004,2.2,9.941176470588236,King_Haakon,272,3.474160271479619,-0.4782608695651902,-0.5308390337624718
2005,2.125,10.928571428571429,King_Haakon,271,4.1874508449748165,-1.4782608695651902,0.18245153973272554
2006,3.2142857142857144,10.076923076923077,King_Haakon,271,4.2209299565435705,-1.4782608695651902,0.2159306513014796
2007,3.2222222222222223,44.42028985507246,King_Haakon,271,4.599074935989859,-1.4782608695651902,0.5940756307477679
2008,2.6153846153846154,16,King_Haakon,272,3.8140076390835675,-0.4782608695651902,-0.19099166615852337
2009,5.071428571428571,49,King_Haakon,271,4.351804496554276,-1.4782608695651902,0.34680519131218546
2010,2.4482758620689653,7.222222222222222,King_Haakon,271,4.270347011658827,-1.4782608695651902,0.265347706416736
2011,2.1818181818181817,17,King_Haakon,271,4.324097070273389,-1.4782608695651902,0.31909776503129805
2012,1.9565217391304348,26,King_Haakon,272,4.3089538157968725,-0.4782608695651902,0.3039545105547816
2013,3.6451612903225805,NA,King_Haakon,271,4.12941949765505,-1.4782608695651902,0.1244201924129591
