time,Sea Ice Extent (million km²)
2015-02-04,19377278.77
2015-02-05,19261206.49
2015-02-06,19164162.38
2015-02-07,19145688.83
2015-02-08,19053033.1
2015-02-09,19000755.57
2015-02-10,18925569.82
2015-02-11,18824369.08
2015-02-12,18680834.24
2015-02-13,18599926.69
2015-02-14,18517374.77
2015-02-15,18401721.46
2015-02-16,18354529.48
2015-02-17,18285528.02
2015-02-18,18234235.04
2015-02-19,18213138.38
2015-02-20,18141646.12
2015-02-21,18153347.54
2015-02-22,18127880.98
2015-02-23,18079984.47
2015-02-24,18052384.44
2015-02-25,18048678.6
2015-02-26,18102998.98
2015-02-27,18101640.41
2015-02-28,18150023.34
2015-03-01,18152725.54
2015-03-02,18190311.12
2015-03-03,18156069.11
2015-03-04,18187425.06
2015-03-05,18202632.7
2015-03-06,18282060.72
2015-03-07,18296019.2
2015-03-08,18323490.4
2015-03-09,18269986.22
2015-03-10,18400596.83
2015-03-11,18484022.26
2015-03-12,18518691.83
2015-03-13,18582014.1
2015-03-14,18626664.66
2015-03-15,18661524.36
2015-03-16,18739770.45
2015-03-17,18795321.92
2015-03-18,18896316.23
2015-03-19,18932162.02
2015-03-20,19052378.45
2015-03-21,19117641.78
2015-03-22,19250053.25
2015-03-23,19369657.72
2015-03-24,19475033.79
2015-03-25,19544710.44
2015-03-26,19643315.95
2015-03-27,19767381.92
2015-03-28,19818940.54
2015-03-29,19908737.49
2015-03-30,20016187.34
2015-03-31,20037554.7
2015-04-01,20125751.25
2015-04-02,20226185.75
2015-04-03,20356517.07
2015-04-04,20456417.57
2015-04-05,20572916.05
2015-04-06,20659385.71
2015-04-07,20761182.46
2015-04-08,20928594.5
2015-04-09,20972584.8
2015-04-10,21093092.35
2015-04-11,21161576.23
2015-04-12,21227692.95
2015-04-13,21339167.43
2015-04-14,21505236.04
2015-04-15,21722025.62
2015-04-16,21855531.83
2015-04-17,21956249.44
2015-04-18,22082245.6
2015-04-19,22132458.24
2015-04-20,22248353.07
2015-04-21,22375472.14
2015-04-22,22494884.52
2015-04-23,22711449.29
2015-04-24,22910896.59
2015-04-25,23042230.87
2015-04-26,23144513.91
2015-04-27,23309177.58
2015-04-28,23414530.11
2015-04-29,23469083.6
2015-04-30,23618606.8
2015-05-01,23759073.96
2015-05-02,23854567.09
2015-05-03,23988761.13
2015-05-04,24061465.3
2015-05-05,24190326.56
2015-05-06,24301214.72
2015-05-07,24354269.69
2015-05-08,24473700.85
2015-05-09,24632253.08
2015-05-10,24700147.51
2015-05-11,24779720.08
2015-05-12,24861883.24
2015-05-13,25003326.5
2015-05-14,25156366.34
2015-05-15,25283814.22
2015-05-16,25409973.15
2015-05-17,25443694.69
2015-05-18,25465913.08
2015-05-19,25561657.29
2015-05-20,25827793.02
2015-05-21,25942336.25
2015-05-22,25987637.65
2015-05-23,26116839.88
2015-05-24,26166806.88
2015-05-25,26161230.82
2015-05-26,26233882.07
2015-05-27,26299220.2
2015-05-28,26507314.67
2015-05-29,26563348.17
2015-05-30,26745063.68
2015-05-31,26846007.41
2015-06-01,26943038.12
2015-06-02,27010259.02
2015-06-03,27038697.49
2015-06-04,27134007.61
2015-06-05,27183339.17
2015-06-06,27131300.96
2015-06-07,27211947.91
2015-06-08,27358729.38
2015-06-09,27434315.18
2015-06-10,27511262.29
2015-06-11,27578754.06
2015-06-12,27624655.18
2015-06-13,27738260.16
2015-06-14,27895448.32
2015-06-15,27932297.55
2015-06-16,28126029.57
2015-06-17,28170376.71
